strain	virus	type	state	date	segment_1	segment_2	segment_3	segment_4	segment_5	segment_6	segment_7	segment_8	segment_9	segment_10												
CSIRO156 	BTV	1	NT	1979	JN881985	JN881986	JN881987	JN881988	JN881989	JN881990	JN881991	JN881992	JN881993	JN881994												
DPP0065 	BTV	1	NT	1981	KM099506	KM099523	KM099540	KM099557	KM099574	KM099591	KM099608	KM099625	KM099642	KM099659												
DPP1000 	BTV	1	NT	1986	KM099507	KM099524	KM099541	KM099558	KM099575	KM099592	KM099609	KM099626	KM099643	KM099660												
DPP1315 	BTV	1	NT	1988	KM099508	KM099525	KM099542	KM099559	KM099576	KM099593	KM099610	KM099627	KM099644	KM099661												
DPP1523 	BTV	1	NT	1989	KM099509	KM099526	KM099543	KM099560	KM099577	KM099594	KM099611	KM099628	KM099645	KM099662												
DPP2559 	BTV	1	NT	1993	KM099510	KM099527	KM099544	KM099561	KM099578	KM099595	KM099612	KM099629	KM099646	KM099663												
DPP3072 	BTV	1	NT	1994	KM099511	KM099528	KM099545	KM099562	KM099579	KM099596	KM099613	KM099630	KM099647	KM099664												
DPP4032 	BTV	1	NT	1996	KM099512	KM099529	KM099546	KM099563	KM099580	KM099597	KM099614	KM099631	KM099648	KM099665												
DPP4100 	BTV	1	NT	1997	KM099513	KM099530	KM099547	KM099564	KM099581	KM099598	KM099615	KM099632	KM099649	KM099666												
DPP4588 	BTV	1	NT	1999	KM099514	KM099531	KM099548	KM099565	KM099582	KM099599	KM099616	KM099633	KM099650	KM099667												
DPP4690	BTV	1	NT	1999	KM099515	KM099532	KM099549	KM099566	KM099583	KM099600	KM099617	KM099634	KM099651	KM099668												
DPP5775 	BTV	1	NT	2002	KM099516	KM099533	KM099550	KM099567	KM099584	KM099601	KM099618	KM099635	KM099652	KM099669												
DPP5844 	BTV	1	NT	2002	KM099517	KM099534	KM099551	KM099568	KM099585	KM099602	KM099619	KM099636	KM099653	KM099670												
DPP6112 	BTV	1	NT	2004	KM099518	KM099535	KM099552	KM099569	KM099586	KM099603	KM099620	KM099637	KM099654	KM099671												
DPP6504 	BTV	1	NT	2005	KM099519	KM099536	KM099553	KM099570	KM099587	KM099604	KM099621	KM099638	KM099655	KM099672												
DPP7137 	BTV	1	NT	2008	KM099520	KM099537	KM099554	KM099571	KM099588	KM099605	KM099622	KM099639	KM099656	KM099673												
DPP8086 	BTV	1	NT	2010	KM099521	KM099538	KM099555	KM099572	KM099589	KM099606	KM099623	KM099640	KM099657	KM099674												
DPP8304 	BTV	1	NT	2010	KM099522	KM099539	KM099556	KM099573	KM099590	KM099607	KM099624	KM099641	KM099658	KM099675												
E050	BTV	1	NSW	1989	KY485039	MF384442	MF384504	MF384566	MF384628	MF384690	MF384752	MF384814	MF384876	MF384940												
E054	BTV	1	NSW	1997	KY485040	MF384443	MF384505	MF384567	MF384629	MF384691	MF384753	MF384815	MF384877	MF384966												
G086	BTV	1	NSW	1997	KY485041	MF384444	MF384506	MF384568	MF384630	MF384692	MF384754	MF384816	MF384878	MF384965												
E051	BTV	1	NSW	1989	KY485043	MF384446	MF384508	MF384570	MF384632	MF384694	MF384756	MF384818	MF384880	MF384941												
E042	BTV	1	NSW	2005	KY485044	MF384447	MF384509	MF384571	MF384633	MF384695	MF384757	MF384819	MF384881	MF384942												
E046	BTV	1	NSW	2009	KY485045	MF384448	MF384510	MF384572	MF384634	MF384696	MF384758	MF384820	MF384882	MF384943												
E047	BTV	1	NSW	2009	KY485046	MF384449	MF384511	MF384573	MF384635	MF384697	MF384759	MF384821	MF384883	MF384944												
E053	BTV	1	NSW	1997	KY485048	MF384451	MF384513	MF384575	MF384637	MF384699	MF384761	MF384823	MF384885	MF384953												
E074	BTV	1	NSW	2003	KY485050	MF384453	MF384515	MF384577	MF384639	MF384701	MF384763	MF384825	MF384887	MF384946												
G082	BTV	1	NSW	1989	KY485053	MF384456	MF384518	MF384580	MF384642	MF384704	MF384766	MF384828	MF384890	MF384938												
E043	BTV	1	NSW	2005	KY485057	MF384460	MF384522	MF384584	MF384646	MF384708	MF384770	MF384832	MF384894	MF384947												
G096	BTV	1	NSW	2005	KY485058	MF384461	MF384523	MF384585	MF384647	MF384709	MF384771	MF384833	MF384895	MF384961												
G099	BTV	1	NSW	2010	KY485059	MF384462	MF384524	MF384586	MF384648	MF384710	MF384772	MF384834	MF384936	MF384962												
G093	BTV	1	NSW	2000	KY485061	MF384464	MF384526	MF384588	MF384650	MF384712	MF384774	MF384836	MF384897	MF384959												
E041	BTV	1	NSW	2003	KY485063	MF384466	MF384528	MF384590	MF384652	MF384714	MF384776	MF384838	MF384899	MF384948												
G095	BTV	1	NSW	2003	KY485064	MF384467	MF384529	MF384591	MF384653	MF384715	MF384777	MF384839	MF384900	MF384960												
G101	BTV	1	NSW	2010	KY485066	MF384469	MF384531	MF384593	MF384655	MF384717	MF384779	MF384841	MF384902	MF384955												
E052	BTV	1	NSW	1996	KY485070	MF384473	MF384535	MF384597	MF384659	MF384721	MF384783	MF384845	MF384906	MF384949												
G083	BTV	1	NSW	1993	KY485054	MF384457	MF384519	MF384581	MF384643	MF384705	MF384767	MF384829	MF384891	MF384957												
G085	BTV	1	NSW	1997	KY485055	MF384458	MF384520	MF384582	MF384644	MF384706	MF384768	MF384830	MF384892	MF384956												
973	BTV	1	QLD	2002	KY485042	MF384445	MF384507	MF384569	MF384631	MF384693	MF384755	MF384817	MF384879	MF384975												
2012-12	BTV	1	QLD	2012	KY485047	MF384450	MF384512	MF384574	MF384636	MF384698	MF384760	MF384822	MF384884	MF384981												
299	BTV	1	QLD	1999	KY485049	MF384452	MF384514	MF384576	MF384638	MF384700	MF384762	MF384824	MF384886	MF384997												
2012-26	BTV	1	QLD	2012	KY485051	MF384454	MF384516	MF384578	MF384640	MF384702	MF384764	MF384826	MF384888	MF384991												
2012-29	BTV	1	QLD	2012	KY485052	MF384455	MF384517	MF384579	MF384641	MF384703	MF384765	MF384827	MF384889	MF384982												
837	BTV	1	QLD	2001	KY485056	MF384459	MF384521	MF384583	MF384645	MF384707	MF384769	MF384831	MF384893	MF384974												
2011-3	BTV	1	QLD	2011	KY485060	MF384463	MF384525	MF384587	MF384649	MF384711	MF384773	MF384835	MF384896	MF384979												
705	BTV	1	QLD	2000	KY485062	MF384465	MF384527	MF384589	MF384651	MF384713	MF384775	MF384837	MF384898	MF384973												
1923	BTV	1	QLD	2007	KY485065	MF384468	MF384530	MF384592	MF384654	MF384716	MF384778	MF384840	MF384901	MF384978												
2011-11	BTV	1	QLD	2011	KY485067	MF384470	MF384532	MF384594	MF384656	MF384718	MF384780	MF384842	MF384903	MF384980												
1121	BTV	1	QLD	2003	KY485068	MF384471	MF384533	MF384595	MF384657	MF384719	MF384781	MF384843	MF384904	MF384976												
1857	BTV	1	QLD	2006	KY485069	MF384472	MF384534	MF384596	MF384658	MF384720	MF384782	MF384844	MF384905	MF384977												
2010-90	BTV	2	QLD	2010	KY485071	MF384474	MF384536	MF384598	MF384660	MF384722	MF384784	MF384846	MF384907	MF384985												
2010-21	BTV	2	QLD	2010	KY485072	MF384475	MF384537	MF384599	MF384661	MF384723	MF384785	MF384847	MF384908	MF384983												
2010-26	BTV	2	QLD	2010	KY485073	MF384476	MF384538	MF384600	MF384662	MF384724	MF384786	MF384848	MF384909	MF384984												
V7291	BTV	2	NT	2008	JQ086241	JQ086242	JQ086243	JQ086244	JQ086245	JQ086246	JQ086247	JQ086248	JQ086249	JQ086250												
Cooktown	BTV	2	QLD	2010	JQ240321	JQ240322	JQ240323	JQ240324	JQ240325	JQ240326	JQ240327	JQ240328	JQ240329	JQ240330												
DPP973	BTV	3	NT	1986	JQ086281	JQ086282	JQ086283	JQ086284	JQ086285	JQ086286	JQ086287	JQ086288	JQ086289	JQ086290												
V6963 	BTV	7	NT	2007	JQ086291	JQ086292	JQ086293	JQ086294	JQ086295	JQ086296	JQ086297	JQ086298	JQ086299	JQ086300												
DP0837 	BTV	9	NT	1985	JQ086301	JQ086302	JQ086303	JQ086304	JQ086305	JQ086306	JQ086307	JQ086308	JQ086309	JQ086310												
 DPP192 	BTV	15	NT	1982	JQ086221	JQ086222	JQ086223	JQ086224	JQ086225	JQ086226	JQ086227	JQ086228	JQ086229	JQ086230												
 DPP965 	BTV	16	NT	1986	JQ086231	JQ086232	JQ086233	JQ086234	JQ086235	JQ086236	JQ086237	JQ086238	JQ086239	JQ086240												
 CSIRO19 	BTV	20	NT	1977	JQ086251	JQ086252	JQ086253	JQ086254	JQ086255	JQ086256	JQ086257	JQ086258	JQ086259	JQ086260												
G087	BTV	21	QLD	1998	KY485079	MF384482	MF384544	MF384606	MF384668	MF384730	MF384792	MF384854	MF384914	MF384999												
G100	BTV	21	QLD	2010	KY485080	MF384483	MF384545	MF384607	MF384669	MF384731	MF384793	MF384855	MF384915	MF384967												
E90	BTV	21	QLD	1991	KY485086	MF384489	MF384551	MF384613	MF384675	MF384737	MF384799	MF384861	MF384921	MF384939												
G089	BTV	21	QLD	1998	KY485087	MF384490	MF384552	MF384614	MF384676	MF384738	MF384800	MF384862	MF384922	MF384951												
G090	BTV	21	QLD	1998	KY485088	MF384491	MF384553	MF384615	MF384677	MF384739	MF384801	MF384863	MF384923	MF384958												
G091	BTV	21	QLD	1998	KY485089	MF384492	MF384554	MF384616	MF384678	MF384740	MF384802	MF384864	MF384924	MF384964												
G092	BTV	21	QLD	1998	KY485090	MF384493	MF384555	MF384617	MF384679	MF384741	MF384803	MF384865	MF384925	MF384963												
G088	BTV	21	QLD	1998	KY485082	MF384485	MF384547	MF384609	MF384671	MF384733	MF384795	MF384857	MF384917	MF384950												
2012-31	BTV	21	QLD	2012	KY485081	MF384484	MF384546	MF384608	MF384670	MF384732	MF384794	MF384856	MF384916	MF384998												
999	BTV	21	QLD	2002	KY485083	MF384486	MF384548	MF384610	MF384672	MF384734	MF384796	MF384858	MF384918	MF384987												
2012-33	BTV	21	QLD	2012	KY485084	MF384487	MF384549	MF384611	MF384673	MF384735	MF384797	MF384859	MF384919	MF384988												
2012-44	BTV	21	QLD	2012	KY485085	MF384488	MF384550	MF384612	MF384674	MF384736	MF384798	MF384860	MF384920	MF384989												
V8184	BTV	21	QLD	2010	KY485091	MF384494	MF384556	MF384618	MF384680	MF384742	MF384804	MF384866	MF384926	MF384990												
DPP86 	BTV	21	NT	1979	JQ086261	JQ086262	JQ086263	JQ086264	JQ086265	JQ086266	JQ086267	JQ086268	JQ086269	JQ086270												
DPP90 	BTV	23	NT	1982	JQ086271	JQ086272	JQ086273	JQ086274	JQ086275	JQ086276	JQ086277	JQ086278	JQ086279	JQ086280												
