Serotype	Acc	Country	State	Source Location	Species sampled	Isolate	Month	Year	Reference		Latitude	Longitude
BTV1		AUS	NSW	Austral Eden (Kempsey)	Cattle	G101	05	2010	This study	05/2010	-31.022	152.938
BTV1	JN881985	AUS	NT	Beatrice Hill	Cattle	CSIRO156		1979	Boyle et al. 2012	1979	-12.64414	131.32004
BTV1	KM099506	AUS	NT	Beatrice Hill	Cattle	DPP0065	04	1981	Boyle et al. 2014	04/1981	-12.64414	131.32004
BTV1	KM099507	AUS	NT	Beatrice Hill	Cattle	DPP1000	04	1986	Boyle et al. 2014	04/1986	-12.64414	131.32004
BTV1	KM099508	AUS	NT	Beatrice Hill	Cattle	DPP1315	04	1988	Boyle et al. 2014	04/1988	-12.64414	131.32004
BTV1	KM099509	AUS	NT	Beatrice Hill	Cattle	DPP1523	02	1989	Boyle et al. 2014	02/1989	-12.64414	131.32004
BTV1	KM099510	AUS	NT	Beatrice Hill	Cattle	DPP2559	05	1993	Boyle et al. 2014	05/1993	-12.64414	131.32004
BTV1	KM099511	AUS	NT	Beatrice Hill	Cattle	DPP3072	02	1994	Boyle et al. 2014	02/1994	-12.64414	131.32004
BTV1	KM099512	AUS	NT	Beatrice Hill	Cattle	DPP4032	12	1996	Boyle et al. 2014	12/1996	-12.64414	131.32004
BTV1	KM099513	AUS	NT	Beatrice Hill	Cattle	DPP4100	01	1997	Boyle et al. 2014	01/1997	-12.64414	131.32004
BTV1	KM099514	AUS	NT	Beatrice Hill	Cattle	DPP4588	02	1999	Boyle et al. 2014	02/1999	-12.64414	131.32004
BTV1	KM099515	AUS	NT	Beatrice Hill	Cattle	DPP4690	08	1999	Boyle et al. 2014	08/1999	-12.64414	131.32004
BTV1	KM099516	AUS	NT	Beatrice Hill	Cattle	DPP5775	02	2002	Boyle et al. 2014	02/2002	-12.64414	131.32004
BTV1	KM099517	AUS	NT	Beatrice Hill	Cattle	DPP5844	04	2002	Boyle et al. 2014	04/2002	-12.64414	131.32004
BTV1	KM099518	AUS	NT	Beatrice Hill	Cattle	DPP6112	01	2004	Boyle et al. 2014	01/2004	-12.64414	131.32004
BTV1	KM099519	AUS	NT	Beatrice Hill	Cattle	DPP6504	06	2005	Boyle et al. 2014	06/2005	-12.64414	131.32004
BTV1	KM099520	AUS	NT	Beatrice Hill	Cattle	DPP7137	01	2008	Boyle et al. 2014	01/2008	-12.64414	131.32004
BTV1	KM099521	AUS	NT	Beatrice Hill	Cattle	DPP8086	02	2010	Boyle et al. 2014	02/2010	-12.64414	131.32004
BTV1	KM099522	AUS	NT	Beatrice Hill	Cattle	DPP8304	09	2010	Boyle et al. 2014	09/2010	-12.64414	131.32004
BTV15	JQ086221	AUS	NT	Beatrice Hill	Cattle	DPP192		1982	Boyle et al. 2012	1982	-12.64414	131.32004
BTV16	JQ086231	AUS	NT	Beatrice Hill	Cattle	DPP965		1987	Boyle et al. 2012	1987	-12.64414	131.32004
BTV20	JQ086251	AUS	NT	Beatrice Hill	Culicoides spp.	CSIRO19		1977	Boyle et al. 2012	1977	-12.64414	131.32004
BTV3	JQ086281	AUS	NT	Beatrice Hill	Cattle	DPP973		1986	Boyle et al. 2012	1986	-12.64414	131.32004
BTV7	JQ086291	AUS	NT	Beatrice Hill	Cattle	DPP6963		2007	Boyle et al. 2012	2007	-12.64414	131.32004
BTV9	JQ086301	AUS	NT	Beatrice Hill	Cattle	DP0837		1985	Boyle et al. 2012	1985	-12.64414	131.32004
BTV1		AUS	NSW	Bellingen	Cattle	G093	05	2000	This study	05/2000	-30.45294	152.89911
BTV1		AUS	NSW	Bellingen	Cattle	E074	03	2003	This study	03/2003	-30.45294	152.89911
BTV1		AUS	NSW	Bex Hill	Cattle	E047	02	2009	This study	02/2009	-28.76293	153.34765
BTV21		AUS	NSW	Bowraville	Cattle	G100	03	2010	This study	03/2010	-30.64997	152.85145
BTV1		AUS	NSW	Casino	Cattle	G083	04	1993	This study	04/1993	-28.85819	153.04749
BTV1		AUS	NSW	Casino	Cattle	E052	12	1996	This study	12/1996	-28.85819	153.04749
BTV1		AUS	NSW	Casino	Cattle	E054	01	1997	This study	01/1997	-28.85819	153.04749
BTV1		AUS	NSW	Casino	Cattle	G086	01	1997	This study	01/1997	-28.85819	153.04749
BTV1		AUS	NSW	Casino	Cattle	E042	02	2005	This study	02/2005	-28.85819	153.04749
BTV1		AUS	NSW	Casino	Cattle	E046	02	2009	This study	02/2009	-28.85819	153.04749
BTV21		AUS	NSW	Casino	Cattle	G087	02	1998	This study	02/1998	-28.85819	153.04749
BTV2	JQ240321	AUS	QLD	Cooktown	Cattle	Cooktown		2010	Boyle et al. 2012	2010	-15.47028	145.24986
