Isolate_name_long	isolate_name_short	virus	Accession	Strain	Date y-m-d	Country	State	Authors	Pub title	Host	lat	long
MF598301.1	AUS/_/K5_08Q712_BatchRelease1/2008 	RHDV	MF598301.1 	GI.1a	1/03/2017	AUS	_	Hall et al	A strain-specific multiplex RT-PCR for Australian rabbit haemorrhagic disease viruses uncovers a new recombinant virus variant in rabbits and hares.	_	-25.256896	134.475214
AUS/ACT/AIN-1/2009 	AUS/ACT/AIN-1/2009 	RHDV	KX357653.1 	GI.1c	1/05/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.283167	149.164391
AUS/ACT/AIN-2/2009 	AUS/ACT/AIN-2/2009 	RHDV	KX357654.1 	GI.1c	11/06/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.270003	149.159575
AUS/ACT/AIN-3/2015 	AUS/ACT/AIN-3/2015 	RHDV	MF421564.1 	GI.1c	7/08/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.269287	149.158878
AUS/ACT/AIN-5/2017	AUS/ACT/AIN-5/2017	RHDV	unpub	GI.4eP_GI.2	27/04/2017	AUS	ACT	Hall et al	unpub	Wild	-35.271648	149.151333
AUS/ACT/AMA-1/2017	AUS/ACT/AMA-1/2017	RHDV	unpub	GI.4eP_GI.2	21/07/2017	AUS	ACT	Hall et al	unpub	Domestic	-35.168638	149.132217
AUS/ACT/ANU-3/2017	AUS/ACT/ANU-3/2017	RHDV	unpub	GI.1bP_GI.2	27/09/2017	AUS	ACT	Hall et al	unpub	Wild	-35.277715	149.118585
AUS/ACT/ARA-1/2015 	AUS/ACT/ARA-1/2015 	RHDV	MF421580.1 	GI.1bP_GI.2	14/09/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.267748	149.081123
AUS/ACT/ARA-2/2017	AUS/ACT/ARA-2/2017	RHDV	unpub	GI.1bP_GI.2	2/11/2017	AUS	ACT	Hall et al	unpub	Domestic	-35.256929	149.08094
AUS/ACT/ATH-1/2015 	AUS/ACT/ATH-1/2015 	RHDV	MF421579.1 	GI.1bP_GI.2	14/08/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.360846	149.09103
AUS/ACT/BLMT-1/2015	AUS/ACT/BLMT-1/2015	RHDV	KT280060.1 	GI.1bP_GI.2	13/05/2015	AUS	ACT	Hall et al	"Emerging Rabbit Hemorrhagic Disease Virus 2 (RHDVb), Australia"	Wild	-35.274634	149.114687
