Isolate_name_long	"Isolate_name_short (No duplicates, must be in caps if unpub)"	virus	Accession	Variant	Date y-m-d	Country	State	Authors	Pub title	Host	lat	long
AUS/ACT/AIN-1/2009 	AIN-1	RHDV	KX357653.1 	GI.1c	1/05/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.283167	149.164391
AUS/ACT/AIN-2/2009 	AIN-2	RHDV	KX357654.1 	GI.1c	11/06/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.270003	149.159575
AUS/ACT/AIN-3/2015 	AIN-3	RHDV	MF421564.1 	GI.1c	7/08/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.269287	149.158878
AUS/ACT/AIN-5/2017	AIN-5	RHDV	unpub	GI.4eP_GI.2	27/04/2017	AUS	ACT	Hall et al	unpub	Wild	-35.271648	149.151333
AUS/ACT/AMA-1/2017	AMA-1	RHDV	unpub	GI.4eP_GI.2	21/07/2017	AUS	ACT	Hall et al	unpub	Domestic	-35.168638	149.132217
AUS/ACT/ANU-3/2017	ANU-3	RHDV	unpub	GI.1bP_GI.2	27/09/2017	AUS	ACT	Hall et al	unpub	Wild	-35.277715	149.118585
AUS/ACT/ANU-4/2018	ANU-4	RHDV	unpub	GI.4eP_GI.2	19/04/2018	AUS	ACT	Hall et al	unpub	Wild	-35.275779	149.115455
AUS/ACT/ARA-1/2015 	ARA-1	RHDV	MF421580.1 	GI.1bP_GI.2	14/09/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.267748	149.081123
AUS/ACT/ARA-2/2017	ARA-2	RHDV	unpub	GI.1bP_GI.2	2/11/2017	AUS	ACT	Hall et al	unpub	Domestic	-35.256929	149.08094
AUS/ACT/ATH-1/2015 	ATH-1	RHDV	MF421579.1 	GI.1bP_GI.2	14/08/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.360846	149.09103
AUS/ACT/BLMT-1/2015	BLMT-1 	RHDV	KT280060.1 	GI.1bP_GI.2	13/05/2015	AUS	ACT	Hall et al	"Emerging Rabbit Hemorrhagic Disease Virus 2 (RHDVb), Australia"	Wild	-35.274634	149.114687
AUS/ACT/BLMT-11/2017	BLMT-11	RHDV	unpub	GI.1bP_GI.2	6/04/2017	AUS	ACT	Hall et al	unpub	Wild	-35.278533	149.108871
AUS/ACT/BLMT-13/2017	BLMT-13	RHDV	unpub	GI.1bP_GI.2	2/05/2017	AUS	ACT	Hall et al	unpub	Wild	-35.272348	149.11167
AUS/ACT/BLMT-17/2017	BLMT-17	RHDV	unpub	GI.1bP_GI.2	5/10/2017	AUS	ACT	Hall et al	unpub	Wild	-35.272797	149.106122
AUS/ACT/BLMT-19/2017	BLMT-19	RHDV	unpub	GI.1bP_GI.2	25/10/2017	AUS	ACT	Hall et al	unpub	Wild	-35.272797	149.106122
AUS/ACT/BLMT-2/2015 	BLMT-2	RHDV	KT280059.1 	GI.1c	9/06/2015	AUS	ACT	Hall et al	"Emerging Rabbit Hemorrhagic Disease Virus 2 (RHDVb), Australia"	Wild	-35.274358	149.114653
AUS/ACT/BLMT-21/2018	BLMT-21	RHDV	unpub	GI.4eP_GI.2	15/01/2018	AUS	ACT	Hall et al	unpub	Wild	-35.274358	149.114653
AUS/ACT/BLMT-27/2018	BLMT-27	RHDV	unpub	GI.4eP_GI.2	4/06/2018	AUS	ACT	Hall et al	unpub	Wild	-35.274604	149.113728
AUS/ACT/BLMT-3/2015 	BLMT-3	RHDV	MF421563.1 	GI.1c	18/06/2015	AUS	ACT	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Wild	-35.274358	149.114653
AUS/ACT/BLMT-6/2015 	BLMT-6	RHDV	MF421584.1 	GI.1bP_GI.2	24/11/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.272905	149.099342
AUS/ACT/BON-2/2016 	BON-2	RHDV	MF421638.1 	GI.1bP_GI.2	24/10/2016	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.236646	149.249268
AUS/ACT/COK-3/2017	COK-3	RHDV	unpub	GI.1bP_GI.2	4/02/2017	AUS	ACT	Hall et al	unpub	Domestic	-35.25706	149.072664
AUS/ACT/GGH-1/2016	GGH-1	RHDV	unpub	GI.4eP_GI.2	20/11/2016	AUS	ACT	Hall et al	unpub	Unknown	-35.198781	149.155884
AUS/ACT/GUD-302/2017	GUD-302	RHDV	unpub	GI.4eP_GI.2	19/04/2017	AUS	ACT	Hall et al	unpub	Wild	-35.349084	149.162053
AUS/ACT/GUN1-37/2009 	GUN1-37	RHDV	KX357667.1 	GI.1c	10/03/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.218993	149.123791
